# OPEN DATASET
# VERSION: 1.0.2
# LICENSE: CC BY 4.0 (Attribution: BelgianFoodTruckFederation.org - Fabrice Willot)
# Export Date: 2025-12-11 13:43:27
concept_id;type_fr;type_nl;type_en;category_fr;category_nl;category_en;subcategory1_fr;subcategory1_nl;subcategory1_en;subcategory2_fr;subcategory2_nl;subcategory2_en;keywords_fr;keywords_nl;keywords_en;dietary_tags;source;date_added;last_modified;status
2;Boissons;Dranken;drinks;"Alcool divers";"Diverse alcoholische dranken";alcohol;;;;;;;;;;;BFTFED;2025-11-30;"2025-11-30 17:47:28";validated
3;Boissons;Dranken;drinks;Bières;Bieren;beers;;;;;;;;;;;BFTFED;2025-11-30;"2025-11-30 17:47:28";validated
4;Boissons;Dranken;drinks;Cafés;Koffie;coffee;;;;;;;;;;;BFTFED;2025-11-30;"2025-11-30 17:47:28";validated
5;Boissons;Dranken;drinks;Cocktails;Cocktails;Cocktails;;;;;;;;;;;BFTFED;2025-11-30;"2025-11-30 17:47:28";validated
6;Boissons;Dranken;drinks;"Boissons chaudes";"Warme dranken";"Hot drinks";;;;;;;;;;;BFTFED;2025-11-30;"2025-11-30 17:47:28";validated
7;Boissons;Dranken;drinks;"Jus de fruits";Vruchtensappen;juice;;;;;;;;;;;BFTFED;2025-11-30;"2025-11-30 17:47:28";validated
8;Boissons;Dranken;drinks;Smoothies;Smoothies;Smoothies;;;;;;;;;;;BFTFED;2025-11-30;"2025-11-30 17:47:28";validated
9;Boissons;Dranken;drinks;Thés;Thee;teas;;;;;;;;;;;BFTFED;2025-11-30;"2025-11-30 17:47:28";validated
10;Boissons;Dranken;drinks;Vins;Wijnen;wines;;;;;;;;;;;BFTFED;2025-11-30;"2025-11-30 17:47:28";validated
11;Boissons;Dranken;drinks;;;;;;;;;;;;;;BFTFED;2025-11-30;"2025-11-30 17:47:28";validated
12;Concept;;Concept;"Dim Sum";"Dim Sum";"Dim Sum";;;;;;;;;;;BFTFED;2025-11-30;"2025-11-30 17:41:34";validated
13;Concept;;Concept;Sushi;Sushi;Sushi;;;;;;;;;;;BFTFED;2025-11-30;"2025-11-30 17:41:34";validated
14;Concept;;Concept;Tapas;Tapas;Tapas;;;;;;;;;;;BFTFED;2025-11-30;"2025-11-30 17:41:34";validated
15;Concept;;Concept;Durum;Durum;Durum;;;;;;;;;;;BFTFED;2025-11-30;"2025-11-30 17:41:34";validated
16;Concept;;Concept;Viandes;Vlees;Meats;;;;;;;;;;;BFTFED;2025-11-30;"2025-11-30 17:41:34";validated
